fromTime,pm25_skøyen,skøyen_roll_3h,skøyen_roll_12h,pm25_furulund,furulund_roll_3h,furulund_roll_12h,hour,weekday,is_weekend,month,anomaly_skøyen,anomaly_score_skøyen,anomaly_furulund,anomaly_score_furulund
2023-01-01 00:00:00+0100,74.377719,74.377719,74.377719,36.982278,36.982278,36.982278,0,6,1,1,-1.0,-0.06456404899738433,-1.0,-0.08674731631301402
2023-01-01 01:00:00+0100,101.952405,88.165062,88.165062,40.508206,38.745242000000005,38.745242000000005,1,6,1,1,-1.0,-0.07351151419894064,-1.0,-0.08319115553295475
2023-01-01 02:00:00+0100,103.300464,93.210196,93.210196,39.466033,38.98550566666667,38.98550566666667,2,6,1,1,-1.0,-0.07351151419894064,-1.0,-0.07914754167373972
2023-01-01 03:00:00+0100,76.215161,93.82267666666667,88.96143725,34.601964,38.192067666666674,37.88962025,3,6,1,1,-1.0,-0.06247367723246844,-1.0,-0.07452065969843513
2023-01-01 04:00:00+0100,54.272978,77.92953433333334,82.0237454,22.335142,32.13437966666667,34.778724600000004,4,6,1,1,-1.0,-0.04851067764206063,-1.0,-0.04292816649138198
2023-01-01 05:00:00+0100,46.83685,59.10832966666666,76.15926283333333,14.718339,23.885148333333333,31.435327,5,6,1,1,-1.0,-0.044781007698657005,-1.0,-0.01956614508411114
2023-01-01 06:00:00+0100,57.9199,53.00990933333333,73.55363957142858,13.088078,16.713853,28.81429142857143,6,6,1,1,-1.0,-0.04835888198909688,1.0,0.02676372875911337
2023-01-01 07:00:00+0100,30.091589,44.949446333333334,68.12088325,6.079211,11.295209333333332,25.972406375000002,7,6,1,1,-1.0,-0.015778686004068843,1.0,0.05688737239064212
2023-01-01 08:00:00+0100,19.555544,35.85567766666667,62.724734444444444,7.509689,8.892325999999999,23.92099333333333,8,6,1,1,1.0,0.020206969223413807,1.0,0.06934027026947576
2023-01-01 09:00:00+0100,13.750831,21.132654666666667,57.827344100000005,10.3844,7.991099999999999,22.567334,9,6,1,1,1.0,0.06460400080533624,1.0,0.06434324105991696
2023-01-01 10:00:00+0100,10.057858,14.454744333333332,53.48466354545454,5.4072,7.767096333333332,21.00732181818182,10,6,1,1,1.0,0.08417999058485615,1.0,0.08475772920060742
2023-01-01 11:00:00+0100,10.522714,11.443801,49.90450108333334,9.034361,8.275320333333333,20.009575083333335,11,6,1,1,1.0,0.09803543595022413,1.0,0.08504199852484451
2023-01-01 12:00:00+0100,8.490331,9.690301,44.413885416666666,4.265017,6.235526,17.283136666666667,12,6,1,1,1.0,0.09789104357019818,1.0,0.08872442777430278
2023-01-01 13:00:00+0100,13.871789,10.961611333333332,37.07383408333333,3.683803,5.661060333333334,14.214436416666667,13,6,1,1,1.0,0.0954363078593462,1.0,0.11052521411193017
2023-01-01 14:00:00+0100,12.032403,11.464841,29.468162333333336,5.008267,4.3190290000000005,11.342955916666668,14,6,1,1,1.0,0.1050882024141927,1.0,0.13913373379957072
2023-01-01 15:00:00+0100,13.9196,13.274597333333332,24.276865583333333,3.901597,4.197889,8.784592000000002,15,6,1,1,1.0,0.11594825284453492,1.0,0.15946489502446448
2023-01-01 16:00:00+0100,28.688294,18.213432333333333,22.144808583333333,5.418553,4.776139,7.37487625,16,6,1,1,1.0,0.06893565905378829,1.0,0.1727186197665418
2023-01-01 17:00:00+0100,34.392375,25.666756333333336,21.107769,5.337,4.885716666666667,6.593098,17,6,1,1,1.0,0.025880615935978013,1.0,0.1785248712325716
2023-01-01 18:00:00+0100,35.942097,33.00758866666666,19.276285416666667,10.025497,6.927016666666667,6.3378829166666675,18,6,1,1,1.0,0.022098540754196705,1.0,0.14556766335276128
2023-01-01 19:00:00+0100,41.811703,37.38205833333333,20.252961583333335,8.099328,7.8206083333333325,6.506226000000001,19,6,1,1,1.0,0.0044517098637260055,1.0,0.15896588564649505
